,block_name,cpu_b,cpu_s,gpu
234,expanded_conv-input:2x2x24-output:1x1x96-expand:3-kernel:7-stride:2-idskip:0,0.0700875,0.145403,0.217794
235,expanded_conv-input:2x2x24-output:1x1x96-expand:6-kernel:7-stride:2-idskip:0,0.101686,0.208521,0.256166
236,expanded_conv-input:32x32x24-output:32x32x192-expand:3-kernel:3-stride:1-idskip:0,1.89902,2.28974,6.52042
237,expanded_conv-input:32x32x24-output:32x32x192-expand:6-kernel:3-stride:1-idskip:0,4.04989,4.0441,12.6466
238,expanded_conv-input:32x32x24-output:32x32x192-expand:3-kernel:5-stride:1-idskip:0,2.05232,2.71939,6.81333
239,expanded_conv-input:32x32x24-output:32x32x192-expand:6-kernel:5-stride:1-idskip:0,4.30143,4.66223,13.0995
240,expanded_conv-input:32x32x24-output:32x32x192-expand:3-kernel:7-stride:1-idskip:0,2.84994,3.67788,7.32909
241,expanded_conv-input:32x32x24-output:32x32x192-expand:6-kernel:7-stride:1-idskip:0,5.78744,6.89334,14.3077
242,expanded_conv-input:32x32x24-output:16x16x192-expand:3-kernel:3-stride:2-idskip:0,0.618249,1.12159,2.40265
243,expanded_conv-input:32x32x24-output:16x16x192-expand:6-kernel:3-stride:2-idskip:0,1.37883,2.04284,4.62648
244,expanded_conv-input:32x32x24-output:16x16x192-expand:3-kernel:5-stride:2-idskip:0,0.762478,1.54807,2.72564
245,expanded_conv-input:32x32x24-output:16x16x192-expand:6-kernel:5-stride:2-idskip:0,1.68714,2.76396,4.86256
246,expanded_conv-input:32x32x24-output:16x16x192-expand:3-kernel:7-stride:2-idskip:0,0.929328,1.7713,2.70407
247,expanded_conv-input:32x32x24-output:16x16x192-expand:6-kernel:7-stride:2-idskip:0,1.997,3.16963,5.2798
248,expanded_conv-input:16x16x24-output:16x16x192-expand:3-kernel:3-stride:1-idskip:0,0.450629,0.647749,1.82787
249,expanded_conv-input:16x16x24-output:16x16x192-expand:6-kernel:3-stride:1-idskip:0,0.846918,1.37799,3.36912
250,expanded_conv-input:16x16x24-output:16x16x192-expand:3-kernel:5-stride:1-idskip:0,0.508891,0.750014,1.85839
251,expanded_conv-input:16x16x24-output:16x16x192-expand:6-kernel:5-stride:1-idskip:0,0.923987,1.49119,3.62176
252,expanded_conv-input:16x16x24-output:16x16x192-expand:3-kernel:7-stride:1-idskip:0,0.688864,1.14664,2.05158
253,expanded_conv-input:16x16x24-output:16x16x192-expand:6-kernel:7-stride:1-idskip:0,1.31061,2.17768,3.88616
254,expanded_conv-input:16x16x24-output:8x8x192-expand:3-kernel:3-stride:2-idskip:0,0.214075,0.341543,1.17765
255,expanded_conv-input:16x16x24-output:8x8x192-expand:6-kernel:3-stride:2-idskip:0,0.339503,0.575545,1.66013
256,expanded_conv-input:16x16x24-output:8x8x192-expand:3-kernel:5-stride:2-idskip:0,0.250908,0.401171,1.0338
257,expanded_conv-input:16x16x24-output:8x8x192-expand:6-kernel:5-stride:2-idskip:0,0.408348,0.708473,1.69167
258,expanded_conv-input:16x16x24-output:8x8x192-expand:3-kernel:7-stride:2-idskip:0,0.292333,0.463943,1.02749
259,expanded_conv-input:16x16x24-output:8x8x192-expand:6-kernel:7-stride:2-idskip:0,0.483352,0.859673,2.11564
260,expanded_conv-input:8x8x24-output:8x8x192-expand:3-kernel:3-stride:1-idskip:0,0.178392,0.289013,0.803005
