block_name,time
expanded_conv-input:8x8x24-output:4x4x96-expand:6-kernel:5-stride:2-idskip:0,0.680878
expanded_conv-input:8x8x24-output:4x4x96-expand:3-kernel:7-stride:2-idskip:0,0.409154
expanded_conv-input:8x8x24-output:4x4x96-expand:6-kernel:7-stride:2-idskip:0,0.699667
expanded_conv-input:4x4x24-output:4x4x96-expand:3-kernel:3-stride:1-idskip:0,0.329843
expanded_conv-input:4x4x24-output:4x4x96-expand:6-kernel:3-stride:1-idskip:0,0.548753
expanded_conv-input:4x4x24-output:4x4x96-expand:3-kernel:5-stride:1-idskip:0,0.395061
expanded_conv-input:4x4x24-output:4x4x96-expand:6-kernel:5-stride:1-idskip:0,0.480247
expanded_conv-input:4x4x24-output:4x4x96-expand:3-kernel:7-stride:1-idskip:0,0.341583
expanded_conv-input:4x4x24-output:4x4x96-expand:6-kernel:7-stride:1-idskip:0,0.490672
expanded_conv-input:4x4x24-output:2x2x96-expand:3-kernel:3-stride:2-idskip:0,0.335372
expanded_conv-input:4x4x24-output:2x2x96-expand:6-kernel:3-stride:2-idskip:0,0.507305
expanded_conv-input:4x4x24-output:2x2x96-expand:3-kernel:5-stride:2-idskip:0,0.378532
expanded_conv-input:4x4x24-output:2x2x96-expand:6-kernel:5-stride:2-idskip:0,0.473094
expanded_conv-input:4x4x24-output:2x2x96-expand:3-kernel:7-stride:2-idskip:0,0.323186
expanded_conv-input:4x4x24-output:2x2x96-expand:6-kernel:7-stride:2-idskip:0,0.529104
expanded_conv-input:2x2x24-output:2x2x96-expand:3-kernel:3-stride:1-idskip:0,0.309012
expanded_conv-input:2x2x24-output:2x2x96-expand:6-kernel:3-stride:1-idskip:0,0.484042
expanded_conv-input:2x2x24-output:2x2x96-expand:3-kernel:5-stride:1-idskip:0,0.312728
expanded_conv-input:2x2x24-output:2x2x96-expand:6-kernel:5-stride:1-idskip:0,0.493324
expanded_conv-input:2x2x24-output:2x2x96-expand:3-kernel:7-stride:1-idskip:0,0.382727
expanded_conv-input:2x2x24-output:2x2x96-expand:6-kernel:7-stride:1-idskip:0,0.491916
expanded_conv-input:2x2x24-output:1x1x96-expand:3-kernel:3-stride:2-idskip:0,0.186327
expanded_conv-input:2x2x24-output:1x1x96-expand:6-kernel:3-stride:2-idskip:0,0.270247
expanded_conv-input:2x2x24-output:1x1x96-expand:3-kernel:5-stride:2-idskip:0,0.222625
expanded_conv-input:2x2x24-output:1x1x96-expand:6-kernel:5-stride:2-idskip:0,0.217537
expanded_conv-input:2x2x24-output:1x1x96-expand:3-kernel:7-stride:2-idskip:0,0.217794
expanded_conv-input:2x2x24-output:1x1x96-expand:6-kernel:7-stride:2-idskip:0,0.256166
expanded_conv-input:32x32x24-output:32x32x192-expand:3-kernel:3-stride:1-idskip:0,6.52042
expanded_conv-input:32x32x24-output:32x32x192-expand:6-kernel:3-stride:1-idskip:0,12.6466
expanded_conv-input:32x32x24-output:32x32x192-expand:3-kernel:5-stride:1-idskip:0,6.81333
expanded_conv-input:32x32x24-output:32x32x192-expand:6-kernel:5-stride:1-idskip:0,13.0995
expanded_conv-input:32x32x24-output:32x32x192-expand:3-kernel:7-stride:1-idskip:0,7.32909
